id,name,city_id
174,Cobham Oval (New),107
175,"Shere Bangla National Stadium, Mirpur",108
176,Himachal Pradesh Cricket Association Stadium,109
177,"The Village, Malahide",34
178,"Tony Ireland Stadium, Townsville",110
179,Sheikh Abu Naser Stadium,111
180,"Queen''s Park Oval, Port of Spain, Trinidad",68
181,"Westpac Stadium, Wellington",37
182,"Westpac Park, Hamilton",36
183,"Davies Park, Queenstown",112
184,"Bundaberg Rum Stadium, Cairns",65
185,"Marrara Cricket Ground, Darwin",100
186,"Punjab Cricket Association IS Bindra Stadium, Mohali",57
187,Carisbrook,51
188,Rangiri Dambulla International Stadium,113
189,Sylhet International Cricket Stadium,114
190,National Cricket Stadium,72
191,Arnos Vale Ground,115
192,Zahur Ahmed Chowdhury Stadium,116
193,MA Aziz Stadium,116
194,Bangabandhu National Stadium,108
195,"Eden Park, Auckland",10
196,"Seddon Park, Hamilton",36
197,"North West Cricket Stadium, Potchefstroom",1
198,"Kingsmead, Durban",41
199,"Buffalo Park, East London",55
200,"Gymkhana Club Ground, Nairobi",98
201,"De Beers Diamond Oval, Kimberley",64
202,"JSCA International Stadium Complex, Ranchi",80
203,"Bellerive Oval, Hobart",15
204,"Newlands, Cape Town",21
205,"Brisbane Cricket Ground, Woolloongabba, Brisbane",32
206,"Willowmoore Park, Benoni",50
207,Barsapara Cricket Stadium,117
208,"Sophia Gardens, Cardiff",22
209,Brisbane Cricket Ground,32
210,W.A.C.A. Ground,16
211,"The Rose Bowl, Southampton",3
212,"Rajiv Gandhi International Cricket Stadium, Dehradun",118
213,R.Premadasa Stadium,13
214,"St Lawrence Ground, Canterbury",119
215,"The Royal & Sun Alliance County Ground, Bristol",5
216,"Bangabandhu National Stadium, Dhaka",108
217,"Captain Roop Singh Stadium, Gwalior",105
218,"Barabati Stadium, Cuttack",85
219,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",56
220,Mannofield Park,120
221,Arun Jaitley Stadium,43
222,"Senwes Park, Potchefstroom",1
223,"National Stadium, Karachi",87
224,"Bready Cricket Club, Magheramason",121
225,Old Hararians,106
226,ICC Academy,122
227,Dubai International Cricket Stadium,122
228,"Grange Cricket Club, Raeburn Place",88
229,Rawalpindi Cricket Stadium,123
230,"Barsapara Cricket Stadium, Guwahati",117
231,"Greenfield International Stadium, Thiruvananthapuram",71
232,"Shaheed Veer Narayan Singh International Stadium, Raipur",124
233,"Zahur Ahmed Chowdhury Stadium, Chattogram",116
234,"Sedgars Park, Potchefstroom",1
235,"Manuka Oval, Canberra",66
236,Bulawayo Athletic Club,44
237,"Takashinga Sports Club, Highfield, Harare",106
238,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),89
239,"Hazelaarweg, Rotterdam",125
240,"Brian Lara Stadium, Tarouba, Trinidad",126
241,"Himachal Pradesh Cricket Association Stadium, Dharamsala",109
242,"Bay Oval, Mount Maunganui",53
243,"West End Park International Cricket Stadium, Doha",127
244,"VRA Ground, Amstelveen",128
245,"Tribhuvan University International Cricket Ground, Kirtipur",129
246,"Cambusdoon New Ground, Ayr",94
247,"Saurashtra Cricket Association Stadium, Rajkot",83
248,"Daren Sammy National Cricket Stadium, Gros Islet",23
249,St Lawrence Ground,119
250,Vidarbha C.A. Ground,103
251,Nehru Stadium,28
252,"Sardar Patel (Gujarat) Stadium, Motera",29
253,"Forthill, Dundee",131
254,"Sportpark Westvliet, The Hague",130
255,John Davies Oval,112
256,"Maple Leaf North-West Ground, King City",132
257,Arbab Niaz Stadium,133
258,Chittagong Divisional Stadium,102
259,Nahar Singh Stadium,74
260,"Nehru Stadium, Fatorda",134
261,Maharani Usharaje Trust Cricket Ground,82
262,Keenan Stadium,135
263,"Antigua Recreation Ground, St John''s",33
264,"Edgbaston, Birmingham",7
265,Nehru Stadium,117
266,Shere Bangla National Stadium,108
267,Indian Petrochemicals Corporation Limited Sports Complex Ground,101
268,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,84
269,Titwood,90
270,"Civil Service Cricket Club, Stormont, Belfast",58
271,P Saravanamuttu Stadium,13
272,Sector 16 Stadium,57
273,Vidarbha Cricket Association Ground,103
274,Sher-e-Bangla National Cricket Stadium,46
